Title,Genre,Run Time,Rating,Number of Votes,Year,Certificate,Synopsis,Actors,Image
One Piece,"Action, Adventure, Comedy",60 min,8.5,"59,605",(2023– ),Certificate N/A,"In a seafaring world, a young pirate captain sets out with his crew to attain the title of Pirate King, and to discover the mythical treasure known as 'One Piece.'","Iñaki Godoy, Emily Rudd, Mackenyu, Vincent Regan",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ahsoka,"Action, Adventure, Drama",Run Time N/A,8.0,"26,398",(2023– ),Certificate N/A,"After the fall of the Galactic Empire, former Jedi Knight Ahsoka Tano investigates an emerging threat to a vulnerable galaxy.","Rosario Dawson, Natasha Liu Bordizzo, Mary Elizabeth Winstead, Ray Stevenson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Who Is Erin Carter?,"Action, Adventure, Crime",338 min,6.5,"7,560",(2023),Certificate N/A,"Erin Carter, a British teacher in Spain, finds herself caught up in a supermarket robbery. When one of the robbers claims to recognize her, her life threatens to unravel.","Evin Ahmad, Sean Teale, Denise Gough, Indica Watson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Wheel of Time,"Action, Adventure, Drama",60 min,7.1,"115,332",(2021– ),Certificate N/A,"Set in a high fantasy world where magic exists, but only some can access it, a woman named Moiraine crosses paths with five young men and women. This sparks a dangerous, world-spanning journey. Based on the book series by Robert Jordan.","Rosamund Pike, Daniel Henney, Madeleine Madden, Zoë Robins",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Game of Thrones,"Action, Adventure, Drama",57 min,9.2,"2,200,627",(2011–2019),18,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia.","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
One Piece: Wan pîsu,"Animation, Action, Adventure",24 min,8.9,"187,106",(1999– ),Certificate N/A,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".","Mayumi Tanaka, Laurent Vernin, Akemi Okamura, Tony Beck",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Witcher,"Action, Adventure, Drama",60 min,8.0,"549,846",(2019– ),Certificate N/A,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Henry Cavill, Freya Allan, Anya Chalotra, Eamon Farren",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Wars: Rebels,"Animation, Action, Adventure",22 min,8.0,"52,523",(2014–2018),Certificate N/A,A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.,"Dave Filoni, Taylor Gray, Freddie Prinze Jr., Vanessa Marshall",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: Strange New Worlds,"Action, Adventure, Sci-Fi",52 min,8.3,"51,401",(2022– ),Certificate N/A,"A prequel to Star Trek: The Original Series, the show follows the crew of the USS Enterprise under Captain Christopher Pike.","Anson Mount, Ethan Peck, Christina Chong, Melissa Navia",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Mandalorian,"Action, Adventure, Fantasy",40 min,8.7,"558,184",(2019– ),Certificate N/A,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Pedro Pascal, Chris Bartlett, Katee Sackhoff, Carl Weathers",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Doctor Who,"Adventure, Drama, Sci-Fi",45 min,8.6,"234,297",(2005– ),Certificate N/A,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Jodie Whittaker, Peter Capaldi, Pearl Mackie, Matt Smith",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Futurama,"Animation, Adventure, Comedy",22 min,8.5,"252,533",(1999–2023),Certificate N/A,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.","Billy West, John DiMaggio, Katey Sagal, Tress MacNeille",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Twisted Metal,"Action, Adventure, Comedy",30 min,7.5,"16,028",(2023– ),Certificate N/A,"Follows a motor-mouthed outsider offered a chance at a better life, but only if he can successfully deliver a mysterious package across a post-apocalyptic wasteland.","Anthony Mackie, Stephanie Beatriz, Joe Seanoa, Will Arnett",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Shingeki no Kyojin,"Animation, Action, Adventure",24 min,9.1,"433,991",(2013–2023),Certificate N/A,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Josh Grelle, Bryce Papenbrook, Yûki Kaji, Yui Ishikawa",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Last of Us,"Action, Adventure, Drama",50 min,8.8,"453,842",(2023– ),Certificate N/A,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.","Pedro Pascal, Bella Ramsey, Anna Torv, Lamar Johnson",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
House of the Dragon,"Action, Adventure, Drama",Run Time N/A,8.5,"339,634",(2022– ),Certificate N/A,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.","Rhys Ifans, Matt Smith, Graham McTavish, Fabien Frankel",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jujutsu Kaisen,"Animation, Action, Adventure",24 min,8.5,"82,729",(2020– ),Certificate N/A,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,"Junya Enoki, Yûichi Nakamura, Adam McArthur, Yuma Uchida",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Bleach: Sennen Kessen-hen,"Animation, Action, Adventure",24 min,9.1,"28,477",(2022– ),Certificate N/A,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.","Johnny Yong Bosch, Masakazu Morita, Stephanie Sheh, Richard Epcar",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Wars: The Clone Wars,"Animation, Action, Adventure",23 min,8.4,"111,353",(2008–2020),Certificate N/A,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,"Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Lost,"Adventure, Drama, Fantasy",44 min,8.3,"576,803",(2004–2010),Certificate N/A,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,"Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Moving,"Action, Adventure, Fantasy",Run Time N/A,8.5,"2,056",(2023– ),Certificate N/A,The quiet lives of three high school students with genetic superhuman abilities turn upside down when a mysterious organization starts to hunt them down one by one.,"Tae-Hyun Cha, Seung-beom Ryu, Lee Jeong-Ha, Go Yoon-Jung",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Vikings,"Action, Adventure, Drama",44 min,8.5,"560,875",(2013–2020),Certificate N/A,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean.","Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Andor,"Action, Adventure, Drama",40 min,8.4,"147,219",(2022– ),Certificate N/A,"Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero.","Diego Luna, Kyle Soller, Stellan Skarsgård, Genevieve O'Reilly",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Rick and Morty,"Animation, Adventure, Comedy",23 min,9.1,"566,261",(2013– ),15,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Flash,"Action, Adventure, Drama",43 min,7.5,"362,846",(2014–2023),Certificate N/A,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City.","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Secret Invasion,"Action, Adventure, Drama",47 min,6.0,"60,206",(2023),Certificate N/A,Fury and Talos try to stop the Skrulls who have infiltrated the highest spheres of the Marvel Universe.,"Samuel L. Jackson, Emilia Clarke, Don Cheadle, Kingsley Ben-Adir",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Adventure Time: Fionna & Cake,"Animation, Action, Adventure",30 min,9.0,701,(2023– ),Certificate N/A,"Fionna and her magical best friend and talking cat, ""Cake"" explore their relationship and the mysterious land of Ooo.","Dee Bradley Baker, Erica Mendez, Cristina Valenzuela, Madeleine Martin",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Harley Quinn,"Animation, Action, Adventure",23 min,8.5,"35,332",(2019– ),Certificate N/A,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City.","Kaley Cuoco, Lake Bell, Alan Tudyk, Ron Funches",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: The Next Generation,"Action, Adventure, Sci-Fi",44 min,8.7,"130,222",(1987–1994),G,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.","Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Once Upon a Time,"Adventure, Fantasy, Romance",60 min,7.7,"231,849",(2011–2018),Certificate N/A,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,"Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Lord of the Rings: The Rings of Power,"Action, Adventure, Drama",Run Time N/A,7.0,"337,747",(2022– ),Certificate N/A,"Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.","Morfydd Clark, Mike Wood, Ismael Cruz Cordova, Charlie Vickers",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Smallville,"Action, Adventure, Drama",60 min,7.5,"134,240",(2001–2011),Certificate N/A,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.","Tom Welling, Michael Rosenbaum, Allison Mack, Kristin Kreuk",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek,"Action, Adventure, Sci-Fi",50 min,8.4,"89,380",(1966–1969),Certificate N/A,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets.","William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Loki,"Action, Adventure, Fantasy",53 min,8.2,"354,628",(2021– ),Certificate N/A,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”,"Tom Hiddleston, Owen Wilson, Gugu Mbatha-Raw, Sophia Di Martino",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
S.W.A.T.,"Action, Adventure, Crime",43 min,7.2,"29,293",(2017–2023),Certificate N/A,Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.,"Shemar Moore, Alex Russell, Kenny Johnson, Jay Harrington",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Invincible,"Animation, Action, Adventure",50 min,8.7,"164,412",(2021– ),Certificate N/A,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,"Steven Yeun, J.K. Simmons, Sandra Oh, Zazie Beetz",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Walking Dead: Dead City,"Adventure, Horror, Thriller",46 min,7.3,"12,669",(2023– ),Certificate N/A,Maggie and Negan travel into a post-apocalyptic Manhattan long ago cut off from the mainland. The city is filled with the dead and denizens who have made New York City their own world.,"Jeffrey Dean Morgan, Lauren Cohan, Gaius Charles, Mahina Napoleon",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kimetsu no Yaiba,"Animation, Action, Adventure",24 min,8.6,"131,558",(2019– ),Certificate N/A,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","Natsuki Hanae, Zach Aguilar, Abby Trott, Akari Kitô",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: Discovery,"Action, Adventure, Drama",60 min,7.1,"129,525",(2017–2024),Certificate N/A,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.","Sonequa Martin-Green, Doug Jones, Anthony Rapp, Emily Coutts",https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
